license_type,license_number,issue_date,expiration_date,primary_applicant,address,city,state,zip_code,telephone,location,year_of_issue,year_of_exp
BUILDING CONTRACTORS LICENSE,BC232887,07/31/2025,07/31/2027,Christopher S. Turett,8807 Primula Drive,laytonsville,MD,20882,(617)851-3042,POINT (-77.17326 39.25154),2025,2027
BUILDING CONTRACTORS LICENSE,BC228786,10/18/2021,10/18/2027,Thorsen Construction Company Inc,5700-A General Washington Drive,alexandria,VA,22312,(703)501-1506,POINT (-77.16657 38.79727),2021,2027
BUILDING CONTRACTORS LICENSE,BC3929,07/27/2007,09/11/2027,"HALCO HOMES, LLC",406 Channel Marker Way,grasonville,MD,21638,(301)806-3009x,POINT (-76.23956 38.96676),2007,2027
BUILDING CONTRACTORS LICENSE,BC229967,06/06/2023,06/06/2027,Avatar Design Build LLC,9715 Caney Place,silver spring,MD,20910,(202)277-0318,POINT (-77.04896 39.01634),2023,2027
BUILDING CONTRACTORS LICENSE,BC232928,08/08/2025,08/08/2027,MIKOU Holdings LLC,11400 Luxmanor Road,north bethesda,MD,20852,(202)256-1213,POINT (-77.12394 39.04229),2025,2027
BUILDING CONTRACTORS LICENSE,BC0924,05/07/1998,05/07/2026,"UNIVERSAL CONSTRUCTION COMPANY, INC.","1215 N. FORT MYER  DRIVE,",arlington,VA,22209,(703)841-9791x,POINT (-77.074495981 38.888851981),1998,2026
BUILDING CONTRACTORS LICENSE,BC232927,08/08/2025,08/08/2027,Kehoe Group 3804 Raymond St LLC,4511 Everett St,kensington,MD,20895,(301)512-7069,POINT (-77.08981 39.02302),2025,2027
BUILDING CONTRACTORS LICENSE,BC232947,08/12/2025,08/12/2027,Warner Circle Mansion Condominiums LLC,4710 Bayard Blvd,bethesda,MD,20816,(202)439-7701,POINT (-77.09877 38.95275),2025,2027
BUILDING CONTRACTORS LICENSE,BC3313,09/12/1999,09/12/2027,GRUVER COOLEY CORPORATION,36274 Paxon Rd.,purcellville,VA,20132,(703)669-5420,POINT (-77.75014 39.10008),1999,2027
BUILDING CONTRACTORS LICENSE,BC227156,09/10/2019,09/10/2027,"OPALUS ENTERPRISES, LLC",13101 Woodsboro Drive,gaithersburg,MD,20878,(301)461-5669,POINT (-77.26974 39.12541),2019,2027
BUILDING CONTRACTORS LICENSE,BC228728,09/13/2021,09/13/2027,"CHRISLER HOMES, LLC",19113 BEALLSVILLE ROAD,beallsville,MD,20839,(301)349-2155x,POINT (-77.41684 39.16978),2021,2027
BUILDING CONTRACTORS LICENSE,BC232967,08/15/2025,08/15/2027,Elvis Hovor,6013 Goldsboro Rd,bethesda,MD,20817,(240)419-4933,POINT (-77.12375 38.97184),2025,2027
BUILDING CONTRACTORS LICENSE,BC232987,08/20/2025,08/20/2027,2729 Washington LLC,1355 Beverly Road,mclean,VA,22101,(703)748-5872,POINT (-77.17757 38.93675),2025,2027
BUILDING CONTRACTORS LICENSE,BC212121,11/06/2013,11/06/2027,"ZANTZINGER, INC.","5141 MAC ARTHUR BLVD., NW",washington,DC,20016,(202)363-8501,POINT (-77.10222 38.92579),2013,2027
BUILDING CONTRACTORS LICENSE,BC212121,11/06/2013,11/06/2027,"ZANTZINGER, INC.","5141 MAC ARTHUR BLVD., NW",washington,DC,20016,(202)363-8501,POINT (-77.10222 38.92579),2013,2027
BUILDING CONTRACTORS LICENSE,BC233027,09/03/2025,09/03/2027,ASH 4505 Clearbrook Lane,5283 Corporate Drive,frederick,MD,21703,(240)405-1345,POINT (-77.41859 39.37741),2025,2027
BUILDING CONTRACTORS LICENSE,BC233030,09/03/2025,09/03/2027,"ASH 5600 Oakmont Avenue, LLC",5283 Corporate Drive,frederick,MD,21703,(240)405-1345,POINT (-77.41859 39.37741),2025,2027
BUILDING CONTRACTORS LICENSE,BC5752,03/10/2004,03/10/2028,"MUELLER HOMES, INC.","7520 MAIN STREET,",sykesville,MD,21784,(410)549-4444x,POINT (-76.9697 39.36736),2004,2028
BUILDING CONTRACTORS LICENSE,BC213041,02/05/2014,02/05/2028,"ANTHONY WILDER DESIGN/BUILD, INC.",7913 MAC ARTHUR BLVD.,cabin john,MD,20818,(301)907-0100,POINT (-77.16208 38.97486),2014,2028
BUILDING CONTRACTORS LICENSE,BC230347,10/10/2023,10/10/2027,"Lowe Contracting, LLC",4015 Wakefield Lane,bowie,MD,20715,(443)758-5033,POINT (-76.7459 38.99407),2023,2027
BUILDING CONTRACTORS LICENSE,BC233031,09/03/2025,09/03/2027,ASH 4617 Saul Road LLC,5283 Corporate Drive,frederick,MD,21703,(240)405-1345,POINT (-77.41859 39.37741),2025,2027
BUILDING CONTRACTORS LICENSE,BC3550,04/04/2000,04/04/2028,"CHASE BUILDERS, INC.",8750 BROOKVILLE ROAD,silver spring,MD,20910,(301)588-4747x,POINT (-77.05644 39.00016),2000,2028
BUILDING CONTRACTORS LICENSE,BC213404,03/10/2014,03/10/2028,WORKSHOP 11,12121 GLEN MILL ROAD,potomac,MD,20854,(301)379-2804,POINT (-77.21717 39.0562),2014,2028
BUILDING CONTRACTORS LICENSE,BC224417,04/05/2018,04/05/2028,RBC LLC,8701 Falls Road,potomac,MD,20854,(301)704-6465,POINT (-77.22937 38.99822),2018,2028
BUILDING CONTRACTORS LICENSE,BC227633,03/10/2020,03/10/2028,"JOSEPHINO'S HOMES, LLC",3904 Denfeld Ave,kensington,MD,20895,(240)444-2709,POINT (-77.07704 39.0387),2020,2028
BUILDING CONTRACTORS LICENSE,BC233032,09/03/2025,09/03/2027,ASH 5104 Fairglen Lane LLC,5283 Corporate Drive,frederick,MD,21703,(240)405-1345,POINT (-77.41859 39.37741),2025,2027
BUILDING CONTRACTORS LICENSE,BC233029,09/03/2025,09/03/2027,"ASH 5527 Oakmont Avenue, LLC",5283 Corporate Drive,frederick,MD,21703,(240)405-1345,POINT (-77.41859 39.37741),2025,2027
BUILDING CONTRACTORS LICENSE,BC233028,09/03/2025,09/03/2027,7923 Chelton Rd LLC,7923 Chelton Rd,bethesda,MD,20814,(202)591-0755,POINT (-77.08844 38.99003),2025,2027
BUILDING CONTRACTORS LICENSE,BC233033,09/03/2025,09/03/2027,ASH 6226 Stoneham Court LLC,5283 Corporate Drive,frederick,MD,21703,(240)405-1345,POINT (-77.41859 39.37741),2025,2027
BUILDING CONTRACTORS LICENSE,BC233513,03/04/2026,03/04/2028,"9933 Logan Drive, LLC",416 N Stonestreet Ave,rockville,MD,20850,(301)252-5709,POINT (-77.14949 39.08976),2026,2028
BUILDING CONTRACTORS LICENSE,BC233510,03/04/2026,03/04/2028,"Melvern St, LLC",5421 Turkey Point Rd,north east,MD,21901,(443)752-5621,POINT (-76.00471 39.46047),2026,2028
BUILDING CONTRACTORS LICENSE,BC233512,03/04/2026,03/04/2028,"5616 Glenwood, LLC",416 N Stonestreet Ave,rockville,MD,20850,(301)252-5709,POINT (-77.14949 39.08976),2026,2028
BUILDING CONTRACTORS LICENSE,BC2783,09/09/1991,02/02/2002,RICK LEONARD,7334 CARROLL  AVENUE,takoma park,MD,20912,(240)350-9003,POINT (-77.00547 38.97879),1991,2002
BUILDING CONTRACTORS LICENSE,BC233508,03/04/2026,03/04/2028,Brendan Vance Byrne and Montserrat Murillo Salazar,10322 Democracy Ln,potomac,MD,20854,(202)615-0758,POINT (-77.16666 39.02501),2026,2028
BUILDING CONTRACTORS LICENSE,BC233511,03/04/2026,03/04/2028,"Two Feet In, LLC",4938 Hampden Lane,bethesda,MD,20814,(301)461-2202,POINT (-77.09788 38.98266),2026,2028
BUILDING CONTRACTORS LICENSE,BC230647,02/14/2024,02/14/2028,"CARL Development, LLC",6504 Western Avenue,chevy chase,MD,20815,(240)328-8328,POINT (-77.06563 38.97648),2024,2028
BUILDING CONTRACTORS LICENSE,BC233507,03/04/2026,03/04/2028,"5011 Newport Ave, LLC",5825 Rolling Dr,derwood,MD,20855,(301)219-6326,POINT (-77.12318 39.17294),2026,2028
BUILDING CONTRACTORS LICENSE,BC4077,04/09/2012,04/09/2028,"WORMALD HOME CONSTRUCTION, LLC",5283 CORPORATE DRIVE,frederick,MD,21703,(301)695-6614x,POINT (-77.41859 39.37741),2012,2028
BUILDING CONTRACTORS LICENSE,BC233509,03/04/2026,03/04/2028,Marzi and Saeed Kahnamelli,7101 Nevis Rd,bethesda,MD,20817,(240)418-8745,POINT (-77.14676 38.9805),2026,2028
BUILDING CONTRACTORS LICENSE,BC228866,12/09/2021,12/09/2027,"BHI CONSTRUCTION, LLC",9342 Annapolis Rd,lanham,MD,20705,(301)595-0546,POINT (-76.84708 38.96533),2021,2027
BUILDING CONTRACTORS LICENSE,BC233047,09/04/2025,09/04/2027,"GEMStruction, Inc.",10282 Arizona Cir,bethesda,MD,20817,(240)234-2462,POINT (-77.15031 39.02436),2025,2027
BUILDING CONTRACTORS LICENSE,BC233067,09/09/2025,09/09/2027,Blue Rock Remodeling Inc.,6177 Executive Blvd,rockville,MD,20852,(240)750-4889,POINT (-77.12451 39.04926),2025,2027
BUILDING CONTRACTORS LICENSE,BC233068,09/09/2025,09/09/2027,Whitehall Building & Company LLC,626-C Admiral Dr,annapolis,MD,21401,(410)977-7059,POINT (-76.53239 38.9943),2025,2027
BUILDING CONTRACTORS LICENSE,BC4074,03/08/2012,03/08/2022,"ADDED DIMENSIONS, INC.",8401 Colesville Rd,silver spring,MD,20910,(301)270-0935x,POINT (-77.0309 38.99435),2012,2022
BUILDING CONTRACTORS LICENSE,BC233087,09/18/2025,09/18/2027,Churilla Homes LLC,4938 Hampden Lane,bethesda,MD,20814,(301)244-8823,POINT (-77.09788 38.98266),2025,2027
BUILDING CONTRACTORS LICENSE,BC233107,09/22/2025,09/22/2027,E&DR Construction LLC,5420 Lynx Ln,columbia,MD,21044,(202)569-0008,POINT (-76.87586 39.22011),2025,2027
BUILDING CONTRACTORS LICENSE,BC3844,10/11/2005,10/11/2027,MAGRUDER CORPORATION,12165 DARNESTOWN ROAD,gaithersburg,MD,20878,(301)921-9050x,POINT (-77.25071 39.11907),2005,2027
BUILDING CONTRACTORS LICENSE,BC224040,10/30/2017,10/30/2027,"Magruder Design Build, LLC",12165 Darnestown Road,gaithersburg,MD,20878,(301)921-9050,POINT (-77.25071 39.11907),2017,2027
BUILDING CONTRACTORS LICENSE,BC233127,09/24/2025,09/24/2027,PBT LLC,4220 Dresden St,kensington,MD,20895,(240)743-7442,POINT (-77.084 39.0217),2025,2027
BUILDING CONTRACTORS LICENSE,BC3201,11/23/1997,11/23/2027,"NATELLI HOMES, LLC","506 MAIN STREET, SUITE 300",gaithersburg,MD,20878,(301)938-5933,POINT (-77.23503 39.1211),1997,2027
BUILDING CONTRACTORS LICENSE,BC2965,10/06/1997,10/06/2027,BURNETT DEVELOPMENT LLC,10525 DICKENS WAY,woodstock,MD,21163,(410)465-3372x,POINT (-76.87822 39.31088),1997,2027
BUILDING CONTRACTORS LICENSE,BC3846,11/02/2005,11/02/2027,"CAPEZIO CONTRACTORS, INC.",8550 VETERANS HIGHWAY,millersville,MD,21108,(410)729-2900,POINT (-76.6252 39.09658),2005,2027
BUILDING CONTRACTORS LICENSE,BC2934,05/02/1991,10/02/2027,"T & M BUILDERS, INC.",18546 Lappans Rd,boonsboro,MD,21713,(301)831-9155x,POINT (-77.72325 39.54666),1991,2027
BUILDING CONTRACTORS LICENSE,BC3532,11/02/1999,11/02/2027,"C. M. CONLAN CONTRACTORS & BUILDER, INC.",8014 CUSTER ROAD,bethesda,MD,20814,(301)983-1301,POINT (-77.10777 38.99124),1999,2027
BUILDING CONTRACTORS LICENSE,BC230395,11/07/2023,11/07/2027,"Paramount Construction, Inc.",15809 Paramount Drive,rockville,MD,20855,(301)370-6463,POINT (-77.16221 39.11534),2023,2027
BUILDING CONTRACTORS LICENSE,BC228729,09/13/2021,09/13/2027,"RED & FRIENDS, LLC",4525 Jamestown Road,bethesda,MD,20816,(240)454-4234,POINT (-77.10529 38.94896),2021,2027
BUILDING CONTRACTORS LICENSE,BC233208,10/13/2025,10/13/2027,9212 Quintana Dr LLC,11221 Ashley Dr,rockville,MD,20852,(301)996-7264,POINT (-77.09349 39.04051),2025,2027
BUILDING CONTRACTORS LICENSE,BC233209,10/13/2025,10/13/2027,Gabriel Montecinos/ Stephanie H Montecinos,7429 Rosewood Manor Lane,gaithersburg,MD,20882,(202)531-7810,POINT (-77.15428 39.18967),2025,2027
BUILDING CONTRACTORS LICENSE,BC233207,10/13/2025,10/13/2027,"Jenkins Services, Inc",7670 Standish Place,rockville,MD,20855,(703)450-6580,POINT (-77.15614 39.11088),2025,2027
BUILDING CONTRACTORS LICENSE,BC2907,02/14/1999,02/14/2003,MOHAMMED ROOHOLAHI,25137 WOODFIELD SCHOOL ROAD,gaithersburg,MD,20882,(301)455-6663x,POINT (-77.17235 39.27269),1999,2003
BUILDING CONTRACTORS LICENSE,BC227895,08/05/2020,08/05/2024,"PYLE GROUP, LLC",6116 Executive Blvd,north bethesda,MD,20852,(301)251-2001,POINT (-77.12626 39.04758),2020,2024
BUILDING CONTRACTORS LICENSE,BC3190,09/14/1993,09/14/1995,NEWTON HOMES INC,PO BOX 1108,olney,MD,20830,NA,missing,1993,1995
BUILDING CONTRACTORS LICENSE,BC3275,02/09/1999,02/09/2009,STEVEN ESRIG,P.O. BOX #3336,gaithersburg,MD,20885,(301)963-3636x,missing,1999,2009
BUILDING CONTRACTORS LICENSE,BC3248,09/08/1996,09/08/1998,ALLEGRO DEVELOPMENT INC,P.O. BOX 57  1810N,kensington,MD,20895,NA,missing,1996,1998
BUILDING CONTRACTORS LICENSE,BC3046,05/24/1991,05/24/1993,PINNACLE BUILDERS INC,PO BOX 220,germantown,MD,20875,NA,missing,1991,1993
BUILDING CONTRACTORS LICENSE,BC3155,01/13/1995,01/13/1997,WETNIGHT ELECTRIC INC,PO BOX 517,jefferson,MD,21755,NA,missing,1995,1997
BUILDING CONTRACTORS LICENSE,BC2936,05/16/1991,05/16/1993,RISHI INC,011783  INDIAN RIDGE  RD,reston,VA,22091,NA,POINT (-77.35497 38.94669),1991,1993
BUILDING CONTRACTORS LICENSE,BC230789,03/11/2024,03/11/2026,"American Signature Properties, LLC","5283 Corporate Drive, Suite 300",frederick,MD,21703,(240)405-1345,POINT (-77.41859 39.37741),2024,2026
BUILDING CONTRACTORS LICENSE,BC0871,10/09/1992,10/09/1994,LORIEN HOMES,PO BOX 1501,rockville,MD,20849,NA,missing,1992,1994
BUILDING CONTRACTORS LICENSE,BC3128,07/24/1992,07/24/1994,MCLELLAN & CO INC,P.O. BOX 76,upper marlboro,MD,20773,(301)627-3672x,missing,1992,1994
BUILDING CONTRACTORS LICENSE,BC2178,08/08/1991,08/08/1993,BARLOWS INC,008550  ARLINGTON  BLVD,fairfax,VA,22031,NA,POINT (-77.23806 38.86589),1991,1993
BUILDING CONTRACTORS LICENSE,BC2689,09/19/1992,09/19/1994,MITCHELL HOMES INC,PO BOX B,glenn dale,MD,20769,NA,missing,1992,1994
BUILDING CONTRACTORS LICENSE,BC229431,09/27/2022,09/27/2024,"CORE BUILD+, LLC",7935 Deepwell Drive,bethesda,MD,20817,(703)474-5818,POINT (-77.16537 39.00719),2022,2024
BUILDING CONTRACTORS LICENSE,BC214282,05/07/2014,05/07/2018,"ALLEN BUILT, INC.",6404 81st Street,cabin john,MD,20818,(301)229-7628,POINT (-77.16565 38.97373),2014,2018
BUILDING CONTRACTORS LICENSE,BC2946,06/23/1991,06/23/1993,CHIC CO,P.O.BOX 2518,rockville,MD,20847,NA,missing,1991,1993
BUILDING CONTRACTORS LICENSE,BC3638,12/05/2001,12/04/2019,"NIROO'S CONSTRUCTION, INC.",9300 RIVER ROAD,potomac,MD,20854,(301)469-0500x,POINT (-77.18971 39.00583),2001,2019
BUILDING CONTRACTORS LICENSE,BC227893,08/05/2020,08/05/2022,NFD Shady Grove LLC,"5101 Wisconsin Avenue NW, Suite 290",washington,DC,20016,(703)587-8101,POINT (-77.08338 38.95616),2020,2022
BUILDING CONTRACTORS LICENSE,BC224406,04/10/2018,04/10/2020,"GreenRoom Development, LLC",10451 METROPOLITAN AVENUE,kensington,MD,20895,(240)876-3800,POINT (-77.07097 39.02702),2018,2020
BUILDING CONTRACTORS LICENSE,BC2764,07/09/1998,07/09/2006,ERHAN TOLU,10770 RHODE ISLAND AVENUE,beltsville,MD,20705,(301)931-9130x,POINT (-76.91458 39.0326),1998,2006
BUILDING CONTRACTORS LICENSE,BC221062,09/01/2015,09/01/2017,"JOHN W. PFAFF BUILDERS, INC.",4211 RIDGE ROAD,westminster,MD,21157,(410)875-6640,POINT (-77.08599 39.45841),2015,2017
BUILDING CONTRACTORS LICENSE,BC2960,10/08/1998,02/23/2019,"Dean T. Builders, Inc.",809 Chester Avenue,annapolis,MD,21403,(410)980-6794,POINT (-76.484984996 38.966583991),1998,2019
BUILDING CONTRACTORS LICENSE,BC3860,02/07/2006,02/07/2010,TERENCE CONNELLY,4804 NORBECK ROAD,rockville,MD,20853,(443)864-3867x,POINT (-77.09691 39.09999),2006,2010
BUILDING CONTRACTORS LICENSE,BC2877,09/14/1998,09/14/2024,"HABITAT FOR HUMANITY METRO MARYLAND, INC.","8380 COLESVILLE ROAD, SUITE 700",silver spring,MD,20910,(301)990-0014x10,POINT (-77.03312 38.99297),1998,2024
BUILDING CONTRACTORS LICENSE,BC2884,10/03/1992,10/03/1994,DISTRICT INVESTMENTS & CONSTRUCTION INC,004309  DUKE  ST,alexandria,VA,22304,NA,POINT (-77.1056 38.81231),1992,1994
BUILDING CONTRACTORS LICENSE,BC2617,01/13/1995,01/13/1997,SOMERSET HOUSE INC,001025  CONNECTICUT  AVE207,washington,DC,20036,NA,POINT (-77.0396 38.90303),1995,1997
BUILDING CONTRACTORS LICENSE,BC227209,09/25/2019,09/25/2021,HIEU MINH TRAN & KIM HOA THI LAM,4411 Elm Street,chevy chase,MD,20815,(240)480-8208,POINT (-77.08993 38.98279),2019,2021
BUILDING CONTRACTORS LICENSE,BC226571,03/05/2019,03/05/2021,"4522 Cheltenham, LLC",7625 Wisconsin Avenue,bethesda,MD,20814,(301)908-8140,POINT (-77.09467 38.98648),2019,2021
BUILDING CONTRACTORS LICENSE,BC3189,09/03/1993,09/03/1995,NEWMARKET CONSTRUCTION INC,004310  MOUNTVILLE  RD,jefferson,MD,21755,NA,POINT (-77.52207 39.35216),1993,1995
BUILDING CONTRACTORS LICENSE,BC229229,04/29/2022,04/29/2024,Navaneeth Muthuveerasamy & Shathiya Navaneeth,11015 Ralston Road,rockville,MD,20852,(301)538-7664,POINT (-77.13031 39.03687),2022,2024
BUILDING CONTRACTORS LICENSE,BC226502,02/05/2019,02/05/2021,"Atlantic Home Group, LLC",378 White Ash Pl.,gaithersburg,MD,20878,(301)820-5299,POINT (-77.23216 39.1533),2019,2021
BUILDING CONTRACTORS LICENSE,BC2569,04/06/1991,04/06/1993,JOEL FLAX ASSOCIATES,013009 N COMMONS  WAY,rockville,MD,20854,NA,POINT (-77.18265 39.06911),1991,1993
BUILDING CONTRACTORS LICENSE,BC3099,03/02/1992,03/02/1994,MEDFORD DEVELOPMENT CORP,002762  GARFIELD  AVE,silver spring,MD,20910,NA,POINT (-77.05806 39.00199),1992,1994
BUILDING CONTRACTORS LICENSE,BC0562,12/13/1994,12/13/1996,RICH PONT CONSTRUCTION CO INC,001109  MCNEIL  LANE,silver spring,MD,20905,NA,POINT (-76.98792 39.11111),1994,1996
BUILDING CONTRACTORS LICENSE,BC2866,08/02/1992,08/02/1994,FOREST CITY RESIDENTIAL DEVELOPMENT INC,010800  BROOKPARK  RD,cleveland,OH,44130,NA,POINT (-81.76169 41.42012),1992,1994
BUILDING CONTRACTORS LICENSE,BC2646,05/23/1995,05/23/1997,J.J.& M MASONRY CONTRACTORS INC,017816  NEW HAMPSHIRE  AVE,ashton,MD,20861,NA,POINT (-77.01174 39.14777),1995,1997
BUILDING CONTRACTORS LICENSE,BC3138,10/07/1998,10/07/2020,"CDCI, INC.",5868 HUBBARD DRIVE,rockville,MD,20852,(301)984-4221x,POINT (-77.11892 39.05471),1998,2020
BUILDING CONTRACTORS LICENSE,BC3707,03/04/2003,03/04/2018,"COMMONWEALTH BUILDING & DESIGN, INC.",12208 HENDERSON ROAD,clifton,VA,20124,(703)543-6888x,POINT (-77.36691 38.74329),2003,2018
BUILDING CONTRACTORS LICENSE,BC3044,05/14/1995,05/14/1997,GREENSPAN BUILDERS INC,00362B  CHRISTOPHER  AVE,gaithersburg,MD,20879,NA,missing,1995,1997
BUILDING CONTRACTORS LICENSE,BC2803,12/08/1993,12/08/1995,T & D BUILDERS INC,000675  WELLERBURN  AVE,severna park,MD,21146,NA,POINT (-76.6064 39.09063),1993,1995
BUILDING CONTRACTORS LICENSE,BC3398,05/06/1999,05/06/2011,WILLIAM BOETTNER,"1030 LIBERTY ROAD,",eldersburg,MD,21784,(410)781-7533x,POINT (-76.95812 39.40606),1999,2011
BUILDING CONTRACTORS LICENSE,BC227773,06/10/2020,06/10/2022,Steven E Fenchel & Kimberly M. Becraft,16501 Barnesville Road,boyds,MD,20841,(703)869-5458,POINT (-77.34322 39.20795),2020,2022
BUILDING CONTRACTORS LICENSE,BC229208,04/06/2022,04/06/2026,Amorim Construction Corporation,2160 Marymount Road,silver spring,MD,20906,(301)598-6791,POINT (-77.04912 39.11133),2022,2026
BUILDING CONTRACTORS LICENSE,BC3347,05/14/1996,05/14/1998,"BLUEPRINT BUILDERS, INC.",709  CLIVEDEN  RD,baltimore,MD,21208,NA,POINT (-76.72913 39.36486),1996,1998
BUILDING CONTRACTORS LICENSE,BC227682,04/17/2020,04/17/2022,"ASP 8615 Melwood Road, LLC","5283 Corporate Drive, Suite 300",frederick,MD,21703,(240)405-1334,POINT (-77.41859 39.37741),2020,2022
BUILDING CONTRACTORS LICENSE,BC230808,03/21/2024,03/21/2026,"Cedar LN, LLC",2257 Lewis Avenue,rockville,MD,20851,(240)672-2567,POINT (-77.12297 39.06504),2024,2026
BUILDING CONTRACTORS LICENSE,BC3234,06/23/1996,06/23/1998,TEN OAKS CONSTRUCTION INC,007404  WIGLEY  AVE,jessup,MD,20794,NA,POINT (-76.75939 39.15919),1996,1998
BUILDING CONTRACTORS LICENSE,BC2711,07/17/1999,07/17/2021,"DAVID S. KELLY DEVELOPMENT CO., INC.",5207 NORWAY DRIVE,chevy chase,MD,20815,(240)460-5947x,POINT (-77.10372 38.96814),1999,2021
BUILDING CONTRACTORS LICENSE,BC3952,03/06/2008,03/06/2020,"BETHESDA TOO, LLC",5825 BRADLEY BLVD.,bethesda,MD,20814,(240)602-6118x,POINT (-77.11756 38.99106),2008,2020
BUILDING CONTRACTORS LICENSE,BC231467,09/05/2024,09/05/2026,Zab Architecture LLC,"8001 Woodmont Ave., Apt #1604",bethesda,MD,20814,(202)913-9277,POINT (-77.09590596 38.989678984),2024,2026
BUILDING CONTRACTORS LICENSE,BC231595,10/03/2024,10/03/2026,Ioana Ballinger,14915 Mount Nebo Road,poolesville,MD,20837,(703)999-3042,POINT (-77.44576 39.09904),2024,2026
BUILDING CONTRACTORS LICENSE,BC228909,01/12/2022,01/12/2024,"District Home Buyers, LLC","2328 Montgomery Street, Unit A",silver spring,MD,20910,(240)418-3204,POINT (-77.0504 39.00765),2022,2024
BUILDING CONTRACTORS LICENSE,BC3187,08/05/1993,08/05/1995,SCOTT DEVELOPMENT CORP,009160  RED BRANCH  RD4W,columbia,MD,21045,NA,POINT (-76.82171 39.23195),1993,1995
BUILDING CONTRACTORS LICENSE,BC229573,12/06/2022,12/06/2024,"ASP 6109 WILMETT ROAD, LLC",5283 Corporate Drive,frederick,MD,21703,(240)405-1333,POINT (-77.41859 39.37741),2022,2024
BUILDING CONTRACTORS LICENSE,BC229233,05/03/2022,05/03/2024,ALM Builders LLC,1322 Merchant Lane,mclean,VA,22101,(202)222-8777,POINT (-77.14509 38.9373),2022,2024
BUILDING CONTRACTORS LICENSE,BC229867,04/20/2023,04/20/2025,"BCEW, LLC",1355 Beverly Road,mclean,VA,22101,(703)748-5872,POINT (-77.17757 38.93675),2023,2025
BUILDING CONTRACTORS LICENSE,BC228316,03/10/2021,03/10/2023,AKSHAY LADWA & SWETA LADWA,5913 Carlton Lane,bethesda,MD,20816,(202)841-0329,POINT (-77.12065 38.95909),2021,2023
BUILDING CONTRACTORS LICENSE,BC2945,06/20/1991,06/20/1993,RAY CONSTRUCTION CO,000200  GIRARD  ST216,gaithersburg,MD,20877,NA,POINT (-77.18341 39.14106),1991,1993
BUILDING CONTRACTORS LICENSE,BC3098,02/24/1992,02/24/1994,HESS CONSTRUCTION CO INC,006476  SLIGO MILL  RD,takoma park,MD,20912,NA,POINT (-77.00148 38.96846),1992,1994
BUILDING CONTRACTORS LICENSE,BC227187,09/18/2019,09/18/2025,"ALL SEASONS HOME IMPROVEMENT, LLC",14012 Loblolly Terrace,rockville,MD,20850,(301)437-6309,POINT (-77.20457 39.08717),2019,2025
BUILDING CONTRACTORS LICENSE,BC229588,01/11/2023,01/11/2025,"DENALI CONTRACTING, LLC","5335 Wisconsin Avenue, NW, Suite 440",NA,"Washington, DC",20015,(240)375-1730,missing,2023,2025
BUILDING CONTRACTORS LICENSE,BC222822,04/06/2016,04/06/2018,"TAYLOR CONCEPTS, INC.",6017 ROSELAND DRIVE,rockville,MD,20852,(301)231-9076,POINT (-77.12377 39.0419),2016,2018
BUILDING CONTRACTORS LICENSE,BC3272,01/25/1995,01/25/1997,ROULA GERANIOTIS,012142  BENTRIDGE  PL,potomac,MD,20854,NA,POINT (-77.19181 39.05579),1995,1997
BUILDING CONTRACTORS LICENSE,BC203849,07/11/2012,07/11/2014,"Oscads Habitat Construction & Management, LLC",1401 Mercantile Lane,largo,MD,20774,(443)864-9199,POINT (-76.8368 38.90909),2012,2014
BUILDING CONTRACTORS LICENSE,BC2657,05/08/1999,05/08/2025,ELLISON CORPORATION,9 WARRENTON DRIVE,silver spring,MD,20904,(301)651-3497,POINT (-77.00745 39.05349),1999,2025
BUILDING CONTRACTORS LICENSE,BC3354,07/09/1996,07/09/1998,MYERS MAY DESIGN AND CONSTRUCTION CORP,6306  WILMETT  ROAD,bethesda,MD,20817,NA,POINT (-77.12851 39.00838),1996,1998
BUILDING CONTRACTORS LICENSE,BC222823,04/06/2016,04/06/2018,"RSR, CONSTRUCTION,  LLC",3925 PLYERS MILL ROAD,kensington,MD,20895,(202)538-6959,POINT (-77.07792 39.0303),2016,2018
BUILDING CONTRACTORS LICENSE,BC1022,05/09/1995,05/09/1997,DELTA PROPERTIES,009905  SUNSET  DR,rockville,MD,20850,NA,POINT (-77.20532 39.07319),1995,1997
BUILDING CONTRACTORS LICENSE,BC226453,01/11/2019,01/11/2025,"Creekside Partners, LLC",6110 Executive Blvd,rockville,MD,20852,(301)864-6500,POINT (-77.12511 39.04779),2019,2025
BUILDING CONTRACTORS LICENSE,BC4068,12/10/2013,12/09/2017,"H.B. HOMES, LLC",1010 MAIN STREET,gaithersburg,MD,20878,(240)848-2045x,POINT (-77.23199 39.11746),2013,2017
BUILDING CONTRACTORS LICENSE,BC225762,07/11/2018,07/11/2020,"RS Homes Associates, LLC",4800 Hampden Lane,bethesda,MD,20814,(301)634-8600,POINT (-77.095233983 38.982481989),2018,2020
BUILDING CONTRACTORS LICENSE,BC230851,04/03/2024,04/03/2026,McCullough Construction LLC,"5513 Connecticut Avenue, NW",washington,DC,20015,(202)237-2415,POINT (-77.07447 38.96366),2024,2026
BUILDING CONTRACTORS LICENSE,BC3063,07/30/1991,07/30/1993,MORGAN HOMES INC,005900  CENTREVILLE  RD425,centreville,VA,22020,NA,POINT (-77.43221 38.83564),1991,1993
