license_type,license_number,issue_date,expiration_date,primary_applicant,business_name,address,city,state,zip_code,telephone,location,year_of_issue,year_of_exp
BUILDING CONTRACTORS LICENSE,BC230590,02/07/2024,02/07/2026,10608 Parkwood Drive LLC,NA,10608 Parkwood Drive,Kensington,MD,20895,(703)928-7760,POINT (-77.08639 39.02953),2024,2026
BUILDING CONTRACTORS LICENSE,BC3314,10/03/1995,10/03/1997,"ANDERSON WOLFF HOMES, INC.",NA,9505  SAYBROOK  AVE,SILVER SPRING,MD,20901,NA,POINT (-77.0093 39.01082),1995,1997
BUILDING CONTRACTORS LICENSE,BC228005,10/07/2020,10/07/2022,"4000 KNOWLES AVENUE, LLC",NA,4000 Knowles Avenue,Kensington,MD,20895,(703)868-2832,POINT (-77.07925 39.02776),2020,2022
BUILDING CONTRACTORS LICENSE,BC227680,04/17/2020,04/17/2022,"ASP 10503 Parkwood Drive, LLC",NA,"5283 Corporate Drive, Suite 300",Frederick,MD,21703,(240)405-1334,POINT (-77.41859 39.37741),2020,2022
BUILDING CONTRACTORS LICENSE,BC3525,09/23/1999,09/16/2017,"MARINER HOMES, LLC","MARINER HOMES, LLC",6840 YELLOW SHEAVE COURT,FREDERICK,MD,21703,(301)694-6241x,POINT (-77.43187 39.38922),1999,2017
BUILDING CONTRACTORS LICENSE,BC229550,11/21/2022,11/21/2024,ALOK K. & NEHA DHIR,NA,5812 Plainview Road,Bethesda,MD,20817,(202)297-5626,POINT (-77.1183 38.98348),2022,2024
BUILDING CONTRACTORS LICENSE,BC231109,06/04/2024,06/04/2026,Krupal Patel,NA,17821 Bowie Mill Road,Derwood,MD,20855,(240)515-5941,POINT (-77.11171 39.14827),2024,2026
BUILDING CONTRACTORS LICENSE,BC223600,02/16/2017,02/16/2019,"ProBuilt, LLC.",NA,"240 Main Street, # 300",Gaithersburg,MD,20878,(443)253-9584,POINT (-77.23863 39.12231),2017,2019
BUILDING CONTRACTORS LICENSE,BC3169,04/21/1993,04/21/1995,B & H CONSTRUCTION SERVICES INC,NA,008010  SUGARBERRY  CT,GAITHERSBURG,MD,20879,NA,POINT (-77.16675 39.16257),1993,1995
BUILDING CONTRACTORS LICENSE,BC226573,03/05/2019,03/05/2021,"3206 Rolling, LLC",NA,7625 Wisconsin Avenue,Bethesda,MD,20814,(130)190-8814x0,POINT (-77.09467 38.98648),2019,2021
BUILDING CONTRACTORS LICENSE,BC228570,06/04/2021,06/04/2023,RAJESH KOHLI & JATINDER KAUR,NA,15768 Seneca Run Court,Germantown,MD,20874,(240)383-7419,POINT (-77.3205 39.11677),2021,2023
BUILDING CONTRACTORS LICENSE,BC3794,11/30/2004,11/30/2020,"CHUCK SULLIVAN HOMES, LLC","CHUCK SULLIVAN HOMES, LLC",7901 PEARL STREET,BETHESDA,MD,20814,(301)718-9116,POINT (-77.09168 38.98965),2004,2020
BUILDING CONTRACTORS LICENSE,BC226851,06/07/2019,06/07/2025,"AMIR & ASSOCIATES, INC.",NA,6809 Wisconsin Avenue,Chevy Chase,MD,20815,(301)657-8618,POINT (-77.091 38.97799),2019,2025
BUILDING CONTRACTORS LICENSE,BC2733,04/08/1991,04/08/1993,L M C C INC,NA,008001  EXODUS  RD,GAITHERSBURG,MD,20879,NA,POINT (-77.16443 39.2041),1991,1993
BUILDING CONTRACTORS LICENSE,BC222766,03/10/2016,03/10/2024,"ROLLINGWOOD BUILDERS, LLC","ROLLINGWOOD BUILDERS, LLC",2000 Tower Oaks Blvd.,Rockville,MD,20852,(301)938-2040,POINT (-77.15326 39.06571),2016,2024
BUILDING CONTRACTORS LICENSE,BC223041,07/06/2016,07/06/2022,"LARMAX HOMES, LLC","LARMAX HOMES, LLC",9741 CORRAL DRIVE,POTOMAC,MD,20854,(301)299-2637,POINT (-77.22424 39.02076),2016,2022
BUILDING CONTRACTORS LICENSE,BC213441,03/13/2014,03/13/2016,MATTHEW WAKSMUNSKI,NA,144 E PASTURE SIDE WAY,ROCKVILLE,MD,20850,(240)286-2909,POINT (-77.16173 39.11037),2014,2016
BUILDING CONTRACTORS LICENSE,BC3122,06/26/1994,06/26/1996,NEW AMERICAN BUILDERS INC,NA,007923  JONES BRANCH  DR100,MCLEAN,VA,22102,NA,POINT (-77.21682 38.92864),1994,1996
BUILDING CONTRACTORS LICENSE,BC2522,03/31/1991,03/31/1993,GRIMM CO,NA,001204  BALLANTRAE  LANE,FAIRFAX,VA,22101,NA,POINT (-77.16059 38.9413),1991,1993
BUILDING CONTRACTORS LICENSE,BC231591,10/02/2024,10/02/2026,CMX Construction Group LLC,NA,2105 Sahalea Ter,Silver Spring,MD,20905,(202)448-2971,POINT (-76.96886 39.12673),2024,2026
BUILDING CONTRACTORS LICENSE,BC224455,04/24/2018,04/24/2020,"Village Conrete, Inc",Village Concrete Commercial,11250 Industrial Road,Manassas,Virginia,20109,(703)365-8544,POINT (-77.54376 38.75228),2018,2020
BUILDING CONTRACTORS LICENSE,BC228615,07/09/2021,07/09/2023,NATALIE NAKASHIAN & ACACIO RENAN GUEDES,NA,20808 Woodfield Road,Gaithersburg,MD,20882,(240)418-0493,POINT (-77.15454 39.19737),2021,2023
BUILDING CONTRACTORS LICENSE,BC230208,08/02/2023,08/02/2025,"ASP 4403 Bywood Lane, LLC",NA,5283 Corporate Drive,Frederick,MD,21703,(240)405-1345,POINT (-77.41859 39.37741),2023,2025
BUILDING CONTRACTORS LICENSE,BC0508,03/28/1993,03/28/1995,ERNEST R SINES INC,NA,14621 LOCUST WOOD LANE,SILVER SPRING,MD,20905,(301)384-6618x,POINT (-76.9605 39.09476),1993,1995
BUILDING CONTRACTORS LICENSE,BC2959,08/04/1999,08/04/2011,PAUL POTO,PORTEN HOMES,"005515  SECURITY  LANE,",ROCKVILLE,MD,20852,(301)881-0040x,POINT (-77.11191 39.04179),1999,2011
BUILDING CONTRACTORS LICENSE,BC3032,09/09/1997,09/09/1999,"IPC, INC.",NA,PO BOX 59716,POTOMAC,MD,20859,NA,missing,1997,1999
BUILDING CONTRACTORS LICENSE,BC1006,03/30/1991,03/30/1993,HARKINS COMMERCIAL INC,NA,012301  OLD COLUMBIA  PIKE,SILVER SPRING,MD,20904,NA,POINT (-76.96986 39.05787),1991,1993
BUILDING CONTRACTORS LICENSE,BC3727,07/18/2003,07/18/2019,"KESWICK HOMES, LLC","KESWICK HOMES, LLC",3201 JERMANTOWN ROAD,FAIRFAX,VA,22030,(703)270-1400x,POINT (-77.31099842 38.874801103),2003,2019
BUILDING CONTRACTORS LICENSE,BC3012,09/11/1992,09/11/1994,PETER WOLFE & CO,NA,014635  CROSSWAY  RD,ROCKVILLE,MD,20853,NA,POINT (-77.08736 39.09764),1992,1994
BUILDING CONTRACTORS LICENSE,BC214767,06/05/2014,06/05/2024,"APEX CONSTRUCTION & DEVELOPMENT, LLC",NA,5613 Halpine Road,ROCKVILLE,MD,20851,(240)401-2061,POINT (-77.1152 39.06641),2014,2024
BUILDING CONTRACTORS LICENSE,BC3093,01/24/1992,01/24/1994,LEADER & KRAUS INC,NA,002713  WELLER  RD,SILVER SPRING,MD,20906,NA,POINT (-77.05718 39.06871),1992,1994
BUILDING CONTRACTORS LICENSE,BC226453,01/11/2019,01/11/2025,"Creekside Partners, LLC",NA,6110 Executive Blvd,Rockville,MD,20852,(301)864-6500,POINT (-77.12511 39.04779),2019,2025
BUILDING CONTRACTORS LICENSE,BC2396,12/04/1994,12/04/1996,DOUGLAS BUILDERS,NA,011940  CLAYTON  CT,MONROVIA,MD,21770,NA,POINT (-77.25065 39.35738),1994,1996
BUILDING CONTRACTORS LICENSE,BC230829,04/01/2024,04/01/2026,"Prana, LLC",NA,4938 Hampden Lane,Bethesda,MD,20814,(301)461-2202,POINT (-77.09751 38.98245),2024,2026
BUILDING CONTRACTORS LICENSE,BC2952,07/11/1993,07/11/1995,W M F HOMES INC,NA,021304  GLENDEVON  CT,GERMANTOWN,MD,20876,NA,POINT (-77.22238 39.20645),1993,1995
BUILDING CONTRACTORS LICENSE,BC3709,04/01/2003,04/01/2025,TOLL MD IV LIMITED PARTNERSHIP,TOLL MD IV LIMITED PARTNERSHIP,7124 COLUMBIA GATEWAY DRIVE,COLUMBIA,MD,21046,(410)872-9105x,POINT (-76.8085 39.17667),2003,2025
BUILDING CONTRACTORS LICENSE,BC3217,04/14/1996,04/14/1998,ANOTHER WORK OF ART,NA,004524  BENNION  RD,WHEATON,MD,20906,NA,POINT (-77.08781 39.05182),1996,1998
BUILDING CONTRACTORS LICENSE,BC229808,03/21/2023,03/21/2025,7527 Hampden Lane LLC,NA,8750 Brookville Road,Silver Spring,MD,20910,(301)588-4747,POINT (-77.05644 39.00016),2023,2025
BUILDING CONTRACTORS LICENSE,BC3594,03/06/2001,03/06/2011,FAKHRI VAZIRI,AMINCO CONSTRUCTION,207 MARTINS LANE,ROCKVILLE,MD,20850,(301)674-3766x,POINT (-77.15781 39.09206),2001,2011
BUILDING CONTRACTORS LICENSE,BC2513,07/21/1993,07/21/2013,WILLIAM CLUNE,CONDOR CONSTRUCTION,43 WELLESLEY CIRCLE,GLEN ECHO,MD,20812,(301)229-8799x,POINT (-77.14388 38.97148),1993,2013
BUILDING CONTRACTORS LICENSE,BC3218,04/26/1998,04/26/2026,"O.C. BUILDERS, INC.",NA,1318 Vincent Place,MCLEAN,VA,22101,(703)827-7716x,POINT (-77.18002 38.937),1998,2026
BUILDING CONTRACTORS LICENSE,BC229234,05/05/2022,05/05/2024,Michal Malachowski,NA,8201 Tomlinson Avenue,Bethesda,MD,20817,(301)661-7923,POINT (-77.16786 38.98108),2022,2024
BUILDING CONTRACTORS LICENSE,BC227131,08/23/2019,08/23/2021,Varoujan Derbarghamian,NA,6025 Avon Drive,Bethesda,MD,20814,(201)452-3420,POINT (-77.12119 39.0252),2019,2021
BUILDING CONTRACTORS LICENSE,BC3371,11/13/1996,11/13/1998,"M.K. SMITH COMPANY, LLC.",NA,2120  HUTCHISON GROVE  CT,FALLS CHURCH,VA,22043,NA,POINT (-77.20843 38.90576),1996,1998
BUILDING CONTRACTORS LICENSE,BC228616,07/09/2021,07/09/2023,JIAO FENG & XINGZHU LIU,NA,215 Lincoln Ave.,Rockville,MD,20850,(301)378-3545,POINT (-77.14758 39.09201),2021,2023
BUILDING CONTRACTORS LICENSE,BC2780,09/09/1991,09/09/1993,DUTCH MASTER BUILDERS,NA,018114  CASHELL  RD,ROCKVILLE,MD,20853,NA,POINT (-77.09424 39.15387),1991,1993
BUILDING CONTRACTORS LICENSE,BC227519,01/28/2020,01/28/2024,WOJCIECH BISKUP,NA,20056 Gateshead Circle,Germantown,MD,20876,(240)425-3760,POINT (-77.23254 39.18304),2020,2024
BUILDING CONTRACTORS LICENSE,BC2225,02/17/1991,02/17/1993,BURLINGAME BUILDERS INC,NA,PO BOX 5184,LAYTONSVILLE,MD,20882,NA,missing,1991,1993
BUILDING CONTRACTORS LICENSE,BC2728,04/08/1991,04/08/1993,COLBURN CONSTRUCTION CO INC,NA,000646  MAIN  ST,LAUREL,MD,20707,NA,POINT (-76.85358 39.10843),1991,1993
BUILDING CONTRACTORS LICENSE,BC3305,08/01/1999,08/01/2007,MILOS JIRICKO,SUN STRUCTURES,P.O. BOX 10295,GAITHERSBURG,MD,20898,(240)375-4084x,missing,1999,2007
BUILDING CONTRACTORS LICENSE,BC227871,07/27/2020,07/27/2022,MORTEZA & SHOHREH PORSAID,NA,6921 Ayr Lane,Bethesda,MD,20817,(240)277-0317,POINT (-77.14107 38.97881),2020,2022
BUILDING CONTRACTORS LICENSE,BC228612,07/02/2021,07/02/2025,"JP & SB Enterprises, L.L.C.",NA,4028 Petersville Road,Knoxville,MD,21758,(301)748-5559,POINT (-77.61237 39.34586),2021,2025
BUILDING CONTRACTORS LICENSE,BC227892,08/05/2020,08/05/2022,Bethesda Chevy Chase Builders Park Lane LLC,NA,10112 Counselman Road,Potomac,MD,20854,(240)882-3089,POINT (-77.20456 39.02215),2020,2022
BUILDING CONTRACTORS LICENSE,BC224479,05/11/2018,05/11/2020,"Zelada Construction, LLC",NA,9114 49th Place,College Park,MD,20740,(301)395-5116,POINT (-76.92515 39.00387),2018,2020
BUILDING CONTRACTORS LICENSE,BC3192,09/21/1993,09/21/1995,DREIECK BUILDERS GROUP INC,ALAN DENNISTON,17717,DERWOOD,MD,20855,(301)926-4837x,missing,1993,1995
BUILDING CONTRACTORS LICENSE,BC229211,04/06/2022,04/06/2024,6704 Brookville LLC,NA,7602 Elmore Lane,Bethesda,MD,20817,(843)446-4946,POINT (-77.13269 38.98603),2022,2024
BUILDING CONTRACTORS LICENSE,BC3685,11/13/2002,11/13/2016,"MATTHEWS GENERAL CONTRACTING, INC.","MATTHEWS GENERAL CONTR.,  INC.",11101 BRANDYWINE STREET,KENSINGTON,MD,20895,(301)942-1234x,POINT (-77.07601 39.03746),2002,2016
BUILDING CONTRACTORS LICENSE,BC0617,06/26/1999,06/26/2025,"FS PEOPLES REALTY, LLC",F.S. PEOPLES REALTY,14672 SOUTHLAWN  LANE,ROCKVILLE,MD,20850,(301)294-8773x,POINT (-77.13956 39.09618),1999,2025
BUILDING CONTRACTORS LICENSE,BC211601,10/07/2013,10/07/2019,"MITCHELL BEST HOMES, LLC","MITCHELL BEST HOMES, LLC",1686 E. GUDE DRIVE,ROCKVILLE,MD,20850,(301)762-9511,POINT (-77.13023 39.0928),2013,2019
BUILDING CONTRACTORS LICENSE,BC227826,07/06/2020,07/06/2022,"6404 East Halbert, LLC",NA,"4938 Hampden Lane, #330",Bethesda,MD,20814,(301)461-2202,POINT (-77.09751 38.98245),2020,2022
BUILDING CONTRACTORS LICENSE,BC209742,06/04/2013,06/04/2017,"PERSPECTIVE CUSTOM HOMES, LLC","PERSPECTIVE CUSTOM HOMES, LLC",6604 MICHAELS DRIVE,BETHESDA,MD,20817,(703)898-3598,POINT (-77.13522 39.01044),2013,2017
BUILDING CONTRACTORS LICENSE,BC228198,01/06/2021,01/06/2023,DIAS J. VILLEGAS & YANIRA M. HENRIQUEZ,NA,16020 Budd Road,Poolesville,MD,20837,(240)498-4413,POINT (-77.40125 39.11799),2021,2023
BUILDING CONTRACTORS LICENSE,BC227678,04/17/2020,04/17/2024,"WoodPak Builders, Inc.",NA,1611 Batchellors Forest Road,Olney,MD,20832,(301)674-2874,missing,2020,2024
BUILDING CONTRACTORS LICENSE,BC228271,02/17/2021,02/17/2023,"6006 HIGHLAND, LLC",NA,7520 Hampden Lane,Bethesda,MD,20814,(202)437-5931,POINT (-77.10986 38.9857),2021,2023
BUILDING CONTRACTORS LICENSE,BC3412,09/10/1999,09/10/2019,"DAY DEVELOPMENT CO., LC",NA,"850 EAST GUDE DRIVE,",ROCKVILLE,MD,20850,(301)424-8336x,POINT (-77.13962 39.10041),1999,2019
BUILDING CONTRACTORS LICENSE,BC231447,09/03/2024,09/03/2026,Welty Homes Inc.,NA,10 Winesap Ct,North Potomac,MD,20878,(301)530-4364,POINT (-77.24895398 39.104504981),2024,2026
BUILDING CONTRACTORS LICENSE,BC2943,06/14/1999,06/14/2013,SCOTT SHAY,RICHMOND AMERICAN HOMES OF MD.,"6210 OLD DOBBIN LANE,",COLUMBIA,MD,21045,(410)312-3692x,POINT (-76.81513 39.20237),1999,2013
BUILDING CONTRACTORS LICENSE,BC227987,10/01/2020,10/01/2022,"Detrick Avenue, LLC",NA,10801 Fox Hunt Lane,Rockville,MD,20854,(301)641-5037,POINT (-77.22133 39.0225),2020,2022
BUILDING CONTRACTORS LICENSE,BC228345,03/23/2021,03/23/2023,"ASP 10102 Fleming Avenue, LLC",NA,"5283 Corporate Drive, Suite 300",Frederick,Maryland,21703,(240)405-1333,POINT (-77.41859 39.37741),2021,2023
BUILDING CONTRACTORS LICENSE,BC227175,09/12/2019,09/12/2021,ROBERT DINKELSPIEL & SHELBY COOK,NA,8006 Maple Ridge Road,Bethesda,MD,20814,(901)634-6289,POINT (-77.10658 38.99017),2019,2021
BUILDING CONTRACTORS LICENSE,BC227264,10/04/2019,10/04/2021,"CBD CUSTOM HOMES, LLC",NA,253 Mont View Lane,Luray,VA,22835,(703)930-3562,POINT (-78.4455 38.71164),2019,2021
BUILDING CONTRACTORS LICENSE,BC2785,09/09/1991,09/09/1993,LONG SIGNATURE HOMES INC,NA,14100K  PARKE LONG  CT,CHANTILLY,VA,22021,NA,POINT (-77.43557 38.89218),1991,1993
BUILDING CONTRACTORS LICENSE,BC228006,10/07/2020,10/07/2024,MARYLAND CUSTOM,NA,200 Heil Road,Silver Spring,MD,20905,(301)421-4242,POINT (-77.00538 39.09797),2020,2024
BUILDING CONTRACTORS LICENSE,BC3891,09/11/2006,09/11/2018,"MARRIOTTSVILLE CONSTR., LLC","MARRIOTTSVILLE CONSTR., LLC",10490 Little Patuxent Parkway,Columbia,MD,21044,(410)750-2600x,POINT (-76.86364 39.21233),2006,2018
BUILDING CONTRACTORS LICENSE,BC230210,08/02/2023,08/02/2025,"ASP 5505 Wilson Lane, LLC",NA,5283 Corporate Drive,Frederick,MD,21703,(240)405-1345,POINT (-77.41859 39.37741),2023,2025
BUILDING CONTRACTORS LICENSE,BC3633,10/02/2001,10/02/2007,JOAN MCNEY,MCNEY & SON'S CUSTOM BUILDERS,825 BUCKINGHAM DRIVE,SEVERNA PARK,MD,21146,(410)975-9688x,POINT (-76.526 39.06331),2001,2007
BUILDING CONTRACTORS LICENSE,BC228392,04/07/2021,04/07/2023,"ARTISAN BUILDERS III, LLC",NA,6862 Elm Street,McLean,VA,22101,(703)883-0202,POINT (-77.18072 38.93736),2021,2023
BUILDING CONTRACTORS LICENSE,BC228245,02/02/2021,02/02/2025,"LUXMANOR CUSTOM HOME BUILDERS, LLC",NA,170 Rollins Ave,Rockville,MD,20852,(301)440-6584,POINT (-77.125375977 39.058354012),2021,2025
BUILDING CONTRACTORS LICENSE,BC4078,04/03/2012,04/03/2026,"Barkay, Inc.",NA,8797 Snouffer School Road,GAITHERSBURG,MD,20879,(301)948-8008x,POINT (-77.17915 39.17931),2012,2026
BUILDING CONTRACTORS LICENSE,BC230529,01/09/2024,01/09/2026,Dung V. Nguyen & Shao Ling Lim,NA,13000 Valley Drive,Rockville,MD,20850,(301)675-6384,POINT (-77.19885 39.06911),2024,2026
BUILDING CONTRACTORS LICENSE,BC227135,08/27/2019,08/27/2023,"PRESERVE AT TOWER OAKS INVESTMENT PARTNERS, LLC",NA,4800 Hampden Lane,Bethesda,MD,20814,(301)634-8656,POINT (-77.095233983 38.982481989),2019,2023
BUILDING CONTRACTORS LICENSE,BC223252,10/11/2016,10/11/2018,"RESIDENTIAL BUILDERS, LLC","RESIDENTIAL BUILDERS, LLC",515 GUN ROAD,HALETHORPE,MD,21227,(443)286-0255,POINT (-76.71915 39.2358),2016,2018
BUILDING CONTRACTORS LICENSE,BC228456,04/30/2021,04/30/2023,"Nittany Partners, LLC",NA,10524 Detrick Avenue,Kensington,MD,20895,(301)942-3600,POINT (-77.0776 39.02863),2021,2023
BUILDING CONTRACTORS LICENSE,BC2862,07/14/1998,07/14/2024,"WELTY HOMES, INC.","WELTY HOMES, INC.",14205 Alta Oaks Drive,Rockville,MD,20850,(301)530-4364,POINT (-77.2066 39.08995),1998,2024
BUILDING CONTRACTORS LICENSE,BC227617,03/02/2020,03/02/2022,KENNETH RAY HORNSBY JR. & PATRICIA  HORNSBY,NA,22009 Beallsville Road,Boyds,MD,20841,(301)252-1873,missing,2020,2022
BUILDING CONTRACTORS LICENSE,BC3307,09/12/1995,09/12/1997,"WINTHROP MANAGEMENT SERVICES, INC.",NA,P.O.  BOX 941,MCLEAN,VA,22101,NA,missing,1995,1997
BUILDING CONTRACTORS LICENSE,BC2662,06/22/1999,05/22/2017,"NIMA CUSTOM HOMES, INC.","NIMA CUSTOM HOMES, INC.",11900 PARKLAWN DIRVE,ROCKVILLE,MD,20852,(301)831-8253x,POINT (-77.10609 39.05095),1999,2017
BUILDING CONTRACTORS LICENSE,BC3833,07/12/2005,07/12/2011,MICHAEL WILSON,MW HOMES & RENOVATIONS,877 STILL CREEK LANE,NORTH POTOMAC,MD,20878,(301)591-3722x,POINT (-77.23472 39.10914),2005,2011
BUILDING CONTRACTORS LICENSE,BC227854,07/22/2020,07/22/2026,6013 Roosevelt Street LLC,NA,8306 Melody Court,Bethesda,MD,20817,(240)687-3697,POINT (-77.13476 38.99329),2020,2026
BUILDING CONTRACTORS LICENSE,BC227855,07/22/2020,07/22/2022,"4205 Saul Road, LLC",NA,8306 Melody Court,Bethesda,MD,20817,(240)687-3697,POINT (-77.13476 38.99329),2020,2022
BUILDING CONTRACTORS LICENSE,BC229044,02/22/2022,02/22/2024,4529 Fairfield Drive LLC,NA,8750 Brookville Road,Silver Spring,MD,20910,(301)588-4747,POINT (-77.05644 39.00016),2022,2024
BUILDING CONTRACTORS LICENSE,BC226572,03/05/2019,03/05/2021,"7700 Connecticut, LLC",NA,7625 Wisconsin Avenue,Bethesda,MD,20814,(301)908-8140,POINT (-77.09467 38.98648),2019,2021
BUILDING CONTRACTORS LICENSE,BC2842,05/11/1992,05/11/1994,STAHL ASSOCIATES LTD,NA,010919  MARTINGALE  CT,POTOMAC,MD,20854,NA,POINT (-77.22953 39.01782),1992,1994
BUILDING CONTRACTORS LICENSE,BC229468,10/13/2022,10/13/2026,McNAIR BUILDERS INC.,NA,120 Dalkeith Glen,Arnold,MD,21012,(301)219-0380,POINT (-76.521798985 39.039797987),2022,2026
BUILDING CONTRACTORS LICENSE,BC229045,02/22/2022,02/22/2024,6224 Winnebago Road LLC,NA,7025 Macarthur Blvd.,Bethesda,MD,20816,(301)219-6326,POINT (-77.1308 38.95848),2022,2024
BUILDING CONTRACTORS LICENSE,BC231590,10/02/2024,10/02/2026,"Refined Properties, LLC",NA,8207 Caraway St.,Cabin John,MD,20818,(301)852-3916,POINT (-77.16808 38.97772),2024,2026
BUILDING CONTRACTORS LICENSE,BC227341,10/31/2019,10/31/2023,L5 DESIGN AND BUILDING COMPANY,NA,5029 Aspen Hill Road,Rockville,MD,20853,(301)962-1512,POINT (-77.10459 39.06942),2019,2023
BUILDING CONTRACTORS LICENSE,BC230527,01/09/2024,01/09/2026,Fred Richards & Annette Matheny,NA,1911 Elkhart St.,Silver Spring,MD,20910,(703)231-0005,POINT (-77.04098 39.00277),2024,2026
BUILDING CONTRACTORS LICENSE,BC227753,06/02/2020,06/02/2026,"Square One Development Group, LLC",NA,10305 Easterday Court,Hagerstown,MD,21742,(301)639-6755,POINT (-77.6164 39.59792),2020,2026
BUILDING CONTRACTORS LICENSE,BC228627,07/19/2021,07/19/2023,William J. Roberts,NA,14708 Old Columbia Pike,Burtonsville,MD,20866,(240)688-8077,POINT (-76.945794037 39.097941992),2021,2023
BUILDING CONTRACTORS LICENSE,BC227566,02/13/2020,02/13/2022,"KEHOE 8701 HEMPSTEAD AVE, LLC",NA,4511 Everett Street,Kensington,MD,20895,(301)512-7069,POINT (-77.08981 39.02302),2020,2022
BUILDING CONTRACTORS LICENSE,BC2565,08/05/1994,08/05/1996,MAY PROPERTIES INC,NA,009801  BENT CROSS  DR,POTOMAC,MD,20854,NA,POINT (-77.19556 39.01176),1994,1996
BUILDING CONTRACTORS LICENSE,BC3115,06/04/1994,06/04/1996,PILLAR HOME BUILDERS INC,NA,016101  BARNESVILLE  RD,BOYDS,MD,20841,NA,POINT (-77.3354 39.20283),1994,1996
BUILDING CONTRACTORS LICENSE,BC2816,02/01/1992,02/01/1994,T C & K CONSTRUCTION CO INC,NA,005405  GEORGE  ST,ADAMSTOWN,MD,21710,NA,POINT (-77.4802 39.31318),1992,1994
BUILDING CONTRACTORS LICENSE,BC3796,12/08/2004,12/08/2008,M. ALI GHARAI,WOOD FABRICATORS,P.O. BOX 9800,MCLEAN,VA,22102,(703)556-3300x,missing,2004,2008
BUILDING CONTRACTORS LICENSE,BC4055,10/03/2011,10/03/2017,CHRISTOPHER FINELLI,"PROVILLA, LLC",5907 GREENTREE ROAD,BETHESDA,MD,20817,(301)996-3731x,POINT (-77.11971 39.00104),2011,2017
BUILDING CONTRACTORS LICENSE,BC0362,02/25/1999,02/25/2025,"JOHN L. DUFIEF, INC.",NA,2280  GLENMORE  TERRACE,ROCKVILLE,MD,20850,(301)424-6164x,POINT (-77.18681 39.0896),1999,2025
BUILDING CONTRACTORS LICENSE,BC0799,12/01/1998,10/02/2009,JOSEPH ANTONELLI,J.M.ANTONELLI CONST.& ENGRS.,"3235 CHESTNUT STREET, NW",WASHINGTON,DC,20015,(202)360-1580x,POINT (-77.0579 38.98021),1998,2009
BUILDING CONTRACTORS LICENSE,BC2328,02/28/1993,02/28/1995,R C M CORP,NA,005520  CEDAR  LANE,COLUMBIA,MD,21044,NA,POINT (-76.88879 39.21968),1993,1995
BUILDING CONTRACTORS LICENSE,BC3921,06/06/2007,06/06/2017,"TOEPFER CONSTRUCTION CO., INC.","TOEPFER CONSTRUCTION CO., INC.",1101 RITCHIE ROAD,CAPITOL HEIGHTS,MD,20743,(301)336-8600x,POINT (-76.85811 38.87525),2007,2017
BUILDING CONTRACTORS LICENSE,BC223989,08/03/2017,08/03/2025,Grossnickle Construction,Grossnickle Construction LLC,5724 Industry Lane,Frederick,MD,21704,(301)712-6974,POINT (-77.41621 39.39196),2017,2025
BUILDING CONTRACTORS LICENSE,BC231248,07/11/2024,07/11/2026,"Crosslane Construction, LLC",NA,48725 Spring Ridge Rd,Lexington Park,MD,20653,(240)577-5722,POINT (-76.39015 38.21231),2024,2026
BUILDING CONTRACTORS LICENSE,BC3222,05/24/1994,05/24/1996,EGAN CONSTRUCTION INC.,WILLIAM EGAN,11120  RUTLEDGE  DR,NORTH POTOMAC,MD,20878,(301)252-0456x,POINT (-77.22902 39.10154),1994,1996
BUILDING CONTRACTORS LICENSE,BC4030,12/23/2010,12/23/2018,"SEED HOMES, INC.","SEED HOMES, INC.",50 W. Edmonston Drive,Rockville,MD,20852,(301)541-8224x,POINT (-77.13617 39.07381),2010,2018
BUILDING CONTRACTORS LICENSE,BC2833,05/24/1993,05/24/1995,JEFFERSON BUILDERS INC,NA,004309  MOUNTVILLE  RD,JEFFERSON,MD,21755,NA,POINT (-77.52117 39.34963),1993,1995
BUILDING CONTRACTORS LICENSE,BC230888,04/24/2024,04/24/2026,"Sixth 2023, LLC",NA,5905 Landon Lane,Bethesda,MD,20817,(301)251-2001,POINT (-77.12026 38.98773),2024,2026
BUILDING CONTRACTORS LICENSE,BC2309,09/19/1992,09/19/1994,N V HOMES L P,NA,000555  QUINCE ORCHARD  RD240,GAITHERSBURG,MD,20878,NA,POINT (-77.21975 39.14359),1992,1994
BUILDING CONTRACTORS LICENSE,BC206239,11/08/2012,11/08/2024,"TYSONS DESIGN BUILD, LLC","TYSONS DESIGN BUILD, LLC",7641 LEESBURG PIKE,FALLS CHURCH,VA,22043,(703)880-1633,POINT (-77.20919 38.90649),2012,2024
BUILDING CONTRACTORS LICENSE,BC3214,03/08/1994,03/08/1996,N D C BUILDERS INC,NA,001700  KALORAMA  RDNW,WASHINGTON,DC,20009,NA,POINT (-77.0393 38.92111),1994,1996
BUILDING CONTRACTORS LICENSE,BC4001,03/04/2010,03/04/2024,"HERNANDEZ PAINTER DECORATOR, INC.","HERNANDEZ PAINTER DECOR, INC.",4142-A HOWARD AVENUE,KENSINGTON,MD,20895,(301)571-6166x,POINT (-77.08217 39.03062),2010,2024
BUILDING CONTRACTORS LICENSE,BC2353,05/23/1993,05/23/1995,J H BURTON & SONS INC,NA,005011  LAYTONSVILLE  RD,OLNEY,MD,20832,NA,POINT (-77.10117 39.17933),1993,1995
